locus_id	isoform	p-value-1	p-value-2	p-value_lowest
SNOO_503300	SNOO_503300_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_067950	SNOO_067950A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_411340	SNOO_411340A_2	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_504510	SNOO_504510_1	0.3671328671328668	0.4195804195804207	0.3671328671328668
SNOO_003080	SNOO_003080A_1	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_098070	SNOO_098070A_1	0.1284965034965036	0.0489510489510489	0.0489510489510489
SNOO_090440	SNOO_090440A_1	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_090440	SNOO_090440A_2	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_006080	SNOO_006080A_1	0.4405594405594418	0.3356643356643369	0.3356643356643369
SNOO_501930	SNOO_501930_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_087830	SNOO_087830A_1	0.3671328671328668	0.0599400599400595	0.0599400599400595
SNOO_403050	SNOO_403050A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_091990	SNOO_091990A_1	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_091990	SNOO_091990A_2	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_402310	SNOO_402310A_1	0.2447552447552455	0.3356643356643369	0.2447552447552455
SNOO_080540	SNOO_080540A_1	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_031760	SNOO_031760A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_086350	SNOO_086350A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_084160	SNOO_084160A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_037990	SNOO_037990A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_073520	SNOO_073520A_1	0.4079254079254084	0.1118881118881117	0.1118881118881117
SNOO_508800	SNOO_508800_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_090360	SNOO_090360A_1	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_003170	SNOO_003170A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_098700	SNOO_098700A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_146910	SNOO_146910A_1	0.1839397205857208	0.2102168235265388	0.1839397205857208
SNOO_083340	SNOO_083340A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_416940	SNOO_416940A_1	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_025880	SNOO_025880A_1	0.0489510489510486	0.1398601398601395	0.0489510489510486
SNOO_025880	SNOO_025880A_3	0.2447552447552438	0.1118881118881117	0.1118881118881117
SNOO_082440	SNOO_082440A_1	0.4038461538461552	0.4615384615384615	0.4038461538461552
SNOO_410320	SNOO_410320A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
